user_id,transaction_id,amount,transaction_date,some_column,new_feature,target,login_frequency,ip_address,device_info,transaction_count,account_age,previous_flags
1,1001,150.0,2024-01-01,5,10,0,5,192.168.0.1,Desktop,20,365,0
2,1002,200.0,2024-01-02,3,6,1,10,192.168.0.2,Mobile,15,200,1
3,1003,300.0,2024-01-03,8,16,0,7,192.168.0.3,Tablet,30,100,0
4,1004,250.0,2024-01-04,2,4,0,4,192.168.0.4,Desktop,25,400,0
5,1005,500.0,2024-01-05,7,14,1,12,192.168.0.5,Mobile,35,150,1
6,1006,120.0,2024-01-06,1,2,0,3,192.168.0.6,Desktop,10,250,0
7,1007,330.0,2024-01-07,4,8,1,8,192.168.0.7,Mobile,20,300,1
8,1008,220.0,2024-01-08,6,12,0,6,192.168.0.8,Tablet,18,450,0
9,1009,130.0,2024-01-09,9,18,0,5,192.168.0.9,Desktop,12,50,0
10,1010,340.0,2024-01-10,5,10,1,11,192.168.0.10,Mobile,28,120,1
11,1011,180.0,2024-01-11,4,8,0,6,192.168.0.11,Tablet,22,380,0
12,1012,210.0,2024-01-12,3,6,1,9,192.168.0.12,Desktop,32,280,1
13,1013,140.0,2024-01-13,6,12,0,4,192.168.0.13,Mobile,18,460,0
14,1014,380.0,2024-01-14,7,14,0,10,192.168.0.14,Tablet,25,210,0
15,1015,160.0,2024-01-15,2,4,1,7,192.168.0.15,Desktop,20,330,1
16,1016,290.0,2024-01-16,8,16,0,8,192.168.0.16,Mobile,24,390,0
17,1017,410.0,2024-01-17,5,10,1,12,192.168.0.17,Tablet,27,190,1
18,1018,350.0,2024-01-18,1,2,0,5,192.168.0.18,Desktop,15,340,0
19,1019,270.0,2024-01-19,4,8,1,10,192.168.0.19,Mobile,21,420,1
20,1020,300.0,2024-01-20,6,12,0,6,192.168.0.20,Tablet,23,370,0
21,1021,450.0,2024-01-21,5,10,1,11,192.168.0.21,Mobile,29,330,1
22,1022,280.0,2024-01-22,7,14,0,7,192.168.0.22,Desktop,30,400,0
23,1023,320.0,2024-01-23,4,8,1,9,192.168.0.23,Mobile,15,250,1
24,1024,170.0,2024-01-24,2,4,0,8,192.168.0.24,Tablet,18,360,0
25,1025,390.0,2024-01-25,6,12,1,10,192.168.0.25,Desktop,27,290,1
26,1026,130.0,2024-01-26,8,16,0,3,192.168.0.26,Mobile,11,150,0
27,1027,220.0,2024-01-27,3,6,1,8,192.168.0.27,Tablet,20,180,1
28,1028,250.0,2024-01-28,7,14,0,6,192.168.0.28,Desktop,21,310,0
29,1029,140.0,2024-01-29,9,18,0,5,192.168.0.29,Mobile,13,170,0
30,1030,310.0,2024-01-30,5,10,1,12,192.168.0.30,Tablet,28,130,1
31,1031,280.0,2024-01-31,4,8,0,7,192.168.0.31,Desktop,19,290,0
32,1032,340.0,2024-02-01,7,14,1,6,192.168.0.32,Mobile,23,310,1
33,1033,400.0,2024-02-02,6,12,0,11,192.168.0.33,Tablet,24,360,0
34,1034,150.0,2024-02-03,3,6,1,8,192.168.0.34,Desktop,17,320,1
35,1035,290.0,2024-02-04,2,4,0,10,192.168.0.35,Mobile,21,220,0
36,1036,420.0,2024-02-05,5,10,1,12,192.168.0.36,Tablet,26,150,1
37,1037,230.0,2024-02-06,4,8,0,6,192.168.0.37,Desktop,20,290,0
38,1038,160.0,2024-02-07,9,18,1,5,192.168.0.38,Mobile,14,270,1
39,1039,310.0,2024-02-08,7,14,0,7,192.168.0.39,Tablet,25,370,0
40,1040,240.0,2024-02-09,6,12,1,9,192.168.0.40,Desktop,18,260,1
